Date,Open,High,Low,Close,Adj Close,Volume,Change,Lockdown
03-02-2020,113761,115299,113467,114629,114629,5512200,,No
04-02-2020,114631,116556,114631,115557,115557,5829400,-928,No
05-02-2020,115563,117701,115562,116028,116028,7173800,-471,No
06-02-2020,116033,117382,114723,115190,115190,7382400,838,No
07-02-2020,115190,115190,113769,113770,113770,6594100,1420,No
10-02-2020,113771,114176,112134,112570,112570,7486300,1200,No
11-02-2020,112574,115576,112574,115371,115371,6767900,-2801,No
12-02-2020,115371,117581,115371,116674,116674,8159200,-1303,No
13-02-2020,116660,116660,114801,115662,115662,5635700,1012,No
14-02-2020,115663,115663,114132,114381,114381,5335900,1281,No
17-02-2020,114381,115696,114381,115309,115309,0,-928,No
18-02-2020,115309,115309,113532,114977,114977,5548400,332,No
19-02-2020,114982,116545,114774,116518,116518,6334100,-1541,No
20-02-2020,116518,116552,114379,114586,114586,6793000,1932,No
21-02-2020,114585,114585,112661,113681,113681,5896200,905,No
27-02-2020,105711,106656,102984,102984,102984,11237700,10697,No
28-02-2020,102984,104172,99951,104172,104172,11228400,-1188,No
02-03-2020,104260,107220,103779,106625,106625,8858400,-2453,No
03-03-2020,106630,108804,104405,105537,105537,9385600,1088,No
04-03-2020,105540,107809,105042,107224,107224,8410500,-1687,No
05-03-2020,107217,107217,100536,102233,102233,8598600,4991,No
06-03-2020,102231,102231,96886,97997,97997,11864200,4236,No
09-03-2020,97982,97982,85880,86067,86067,14645500,11930,No
10-03-2020,86071,92230,86071,92214,92214,13531700,-6147,No
11-03-2020,92202,92202,80796,85171,85171,11786900,7043,No
12-03-2020,85103,85103,68488,72583,72583,12008700,12588,No
13-03-2020,72621,83758,72621,82678,82678,15766300,-10095,No
16-03-2020,82565,82565,70855,71168,71168,12847800,11510,No
17-03-2020,71178,77255,70783,74617,74617,14945900,-3449,No
18-03-2020,74576,74576,63547,66895,66895,16751500,7722,No
19-03-2020,66883,70071,61691,68332,68332,16144700,-1437,No
20-03-2020,68344,72247,66120,67069,67069,15152400,1263,No
23-03-2020,67067,67604,62161,63570,63570,11962200,3499,No
24-03-2020,63604,71535,63604,69729,69729,11679900,-6159,No
25-03-2020,69727,76714,69360,74956,74956,12951100,-5227,No
26-03-2020,74956,78846,74923,77710,77710,12758000,-2754,No
27-03-2020,77708,77708,73057,73429,73429,10301400,4281,No
30-03-2020,73431,75430,73184,74640,74640,9032200,-1211,No
31-03-2020,74629,75511,72385,73020,73020,11141500,1620,No
01-04-2020,73011,73011,69569,70967,70967,10093500,2053,No
02-04-2020,70969,73861,70957,72253,72253,10540200,-1286,No
03-04-2020,72241,72241,67802,69538,69538,10411300,2715,No
06-04-2020,69556,75260,69556,74073,74073,9685400,-4535,No
07-04-2020,74078,79855,74078,76358,76358,11286500,-2285,No
08-04-2020,76335,79058,76115,78625,78625,10206300,-2267,Lockdown
09-04-2020,78640,80428,77457,77682,77682,10748700,943,Lockdown
13-04-2020,77682,78836,76405,78836,78836,7651300,-1154,Lockdown
14-04-2020,78848,81668,78848,79918,79918,8593600,-1082,Lockdown
15-04-2020,79911,80035,77546,78831,78831,9758400,1087,Lockdown
16-04-2020,78837,80167,77452,77812,77812,9028400,1019,Lockdown
17-04-2020,77817,79846,77754,78990,78990,8317800,-1178,Lockdown
20-04-2020,78989,80106,76943,78973,78973,8874700,17,Lockdown
22-04-2020,78973,81184,78973,80687,80687,9848900,-1714,Lockdown
23-04-2020,80690,81934,78622,79673,79673,10823500,1014,Lockdown
24-04-2020,79667,79667,72041,75331,75331,16529200,4342,Lockdown
27-04-2020,75334,78563,75327,78239,78239,10656900,-2908,Lockdown
28-04-2020,78243,81427,78243,81312,81312,12939000,-3073,Lockdown
29-04-2020,81313,83598,81313,83171,83171,11719700,-1859,Lockdown
30-04-2020,83169,83169,80168,80506,80506,11804600,2665,Lockdown
04-05-2020,80501,80502,77640,78876,78876,8594200,1630,Lockdown
05-05-2020,78887,81066,78886,79471,79471,9154700,-595,Lockdown
06-05-2020,79473,79996,78056,79064,79064,9775900,407,Lockdown
07-05-2020,79072,80061,78061,78119,78119,13808900,945,Lockdown
08-05-2020,78152,80557,78152,80263,80263,10734400,-2144,Lockdown
11-05-2020,80263,80723,78994,79065,79065,9781900,1198,Lockdown
12-05-2020,79065,80344,77872,77872,77872,10245400,1193,Lockdown
13-05-2020,77877,78911,77152,77772,77772,11575900,100,Lockdown
14-05-2020,77770,79011,75697,79011,79011,13818900,-1239,Lockdown
15-05-2020,79011,79538,77426,77557,77557,11718200,1454,Lockdown
18-05-2020,77576,81420,77571,81194,81194,11533100,-3637,Lockdown
19-05-2020,81197,82175,80647,80742,80742,10740100,452,Lockdown
20-05-2020,80747,82290,80740,81319,81319,9522800,-577,Lockdown
21-05-2020,81320,83309,81317,83027,83027,11395200,-1708,Lockdown
22-05-2020,83027,83027,81669,82173,82173,9281200,854,Lockdown
25-05-2020,82198,85876,82193,85663,85663,8764400,-3490,Lockdown
26-05-2020,85668,87333,85396,85469,85469,12030800,194,Lockdown
27-05-2020,85468,87946,85468,87946,87946,11212000,-2477,Lockdown
28-05-2020,87946,88091,86767,86949,86949,10117000,997,Lockdown
29-05-2020,86951,87410,85384,87403,87403,16550900,-454,Lockdown
01-06-2020,87395,89019,86837,88620,88620,9849400,-1217,No
02-06-2020,88622,91046,88622,91046,91046,11827300,-2426,No
03-06-2020,91048,93710,91048,93002,93002,15137900,-1956,No
04-06-2020,92993,94132,92221,93829,93829,11488000,-827,No
05-06-2020,93839,97356,93839,94637,94637,13320300,-808,No
08-06-2020,94640,97693,94635,97645,97645,11096500,-3008,No
09-06-2020,97644,97644,95386,96747,96747,11278800,898,No
10-06-2020,96747,97646,94665,94686,94686,11739600,2061,No
12-06-2020,94677,94703,90811,92795,92795,12785600,1891,No
15-06-2020,92780,93112,90148,92376,92376,13317500,419,No
16-06-2020,92387,95216,92387,93531,93531,12034200,-1155,No
17-06-2020,93531,96611,93531,95547,95547,11134700,-2016,No
18-06-2020,95547,97110,94698,96125,96125,10008500,-578,No
19-06-2020,96138,97540,95874,96572,96572,13134400,-447,No
22-06-2020,96572,96870,94869,95336,95336,8264700,1236,No
23-06-2020,95344,97486,95344,95975,95975,9752700,-639,No
24-06-2020,95974,95974,93259,94377,94377,9962700,1598,No
25-06-2020,94382,96260,94152,95983,95983,8697900,-1606,No
26-06-2020,95979,95979,93514,93834,93834,8439100,2149,No
29-06-2020,93837,95735,93825,95735,95735,8906800,-1901,No
30-06-2020,95728,96257,94806,95056,95056,10144500,679,No
01-07-2020,95062,96852,95062,96203,96203,10163300,-1147,No
02-07-2020,96206,97864,96052,96235,96235,10062900,-32,No
03-07-2020,96237,96765,95803,96765,96765,5351600,-530,No
06-07-2020,96776,99257,96768,98937,98937,9489400,-2172,No
07-07-2020,98937,98938,97272,97761,97761,8951400,1176,No
08-07-2020,97765,99973,97765,99770,99770,9142700,-2009,No
09-07-2020,99770,100191,98861,99160,99160,0,610,No
10-07-2020,99160,100101,98739,100032,100032,9147200,-872,No
13-07-2020,100027,100858,98697,98697,98697,10382300,1335,No
14-07-2020,98699,100632,98289,100440,100440,10019400,-1743,No
15-07-2020,100444,102114,100444,101791,101791,9285600,-1351,No
16-07-2020,101791,101792,100160,100553,100553,8127100,1238,No
17-07-2020,100554,103017,100554,102888,102888,10429400,-2335,No
20-07-2020,102888,104439,102744,104426,104426,8931800,-1538,No
21-07-2020,104426,105449,103732,104310,104310,11105800,116,No
22-07-2020,104312,104980,103277,104290,104290,10833700,20,No
23-07-2020,104291,104949,102119,102293,102293,10366600,1997,No
24-07-2020,102292,102694,100859,102382,102382,9795200,-89,No
27-07-2020,102381,104585,102381,104477,104477,9622400,-2095,No
28-07-2020,104477,104663,103592,104109,104109,9087100,368,No
29-07-2020,104112,105704,104112,105605,105605,9238300,-1496,No
30-07-2020,105605,105607,103920,105009,105009,9591700,596,No
31-07-2020,105010,105462,102642,102912,102912,12929300,2097,No
03-08-2020,102913,103863,102304,102830,102830,10901000,82,No
04-08-2020,102826,103012,100005,101216,101216,12029800,1614,No
05-08-2020,101220,103763,101220,102802,102802,10922100,-1586,No
06-08-2020,102733,104523,102733,104126,104126,9686600,-1324,No
07-08-2020,104116,104126,101957,102776,102776,10337100,1350,No
10-08-2020,102776,103722,101282,103444,103444,8259500,-668,No
11-08-2020,103449,104409,102174,102174,102174,9360900,1270,No
12-08-2020,102176,103116,100698,102118,102118,10114200,56,No
13-08-2020,102118,103237,100187,100461,100461,10721300,1657,No
14-08-2020,100469,101717,100445,101353,101353,8576300,-892,No
17-08-2020,101348,101689,98513,99595,99595,10816200,1758,No
18-08-2020,99597,102247,99597,102065,102065,9418700,-2470,No
19-08-2020,102072,102334,100800,100854,100854,10025800,1211,No
20-08-2020,100853,101749,99131,101468,101468,9405000,-614,No
21-08-2020,101460,101566,100412,101521,101521,9100200,-53,No
24-08-2020,101525,102515,101525,102298,102298,7723000,-777,No
25-08-2020,102293,102708,101623,102118,102118,8170900,180,No
26-08-2020,102119,102521,99359,100627,100627,9861200,1491,No
27-08-2020,100625,101548,99857,100624,100624,7360600,3,No
28-08-2020,100631,102347,100631,102143,102143,7665700,-1519,No
31-08-2020,102142,102142,99369,99369,99369,12226100,2774,No
01-09-2020,99382,102238,99382,102168,102168,9384700,-2799,No
02-09-2020,102168,102824,100872,101911,101911,7557900,257,No
03-09-2020,101911,103226,99751,100721,100721,12611000,1190,No
04-09-2020,100733,101582,98961,101242,101242,11327400,-521,No
08-09-2020,101239,101239,99373,100050,100050,8479000,1192,No
09-09-2020,100050,101578,100050,101292,101292,7955600,-1242,No
10-09-2020,101291,101536,98687,98835,98835,8894600,2457,No
11-09-2020,98839,99435,97758,98363,98363,9107900,472,No
14-09-2020,98367,100520,98367,100275,100275,8182100,-1912,No
15-09-2020,100277,100949,99647,100298,100298,9216700,-23,No
16-09-2020,100299,100663,99663,99676,99676,7139400,622,No
17-09-2020,99674,100251,98562,100098,100098,0,-422,No
18-09-2020,100098,100102,98045,98290,98290,11370300,1808,No
21-09-2020,98283,98283,95820,96991,96991,9738000,1299,No
22-09-2020,96995,97684,96390,97294,97294,7281300,-303,No
23-09-2020,97294,97389,95728,95735,95735,8830700,1559,No
24-09-2020,95735,97955,95653,97012,97012,9331000,-1277,No
25-09-2020,97011,97012,95632,96999,96999,7351100,13,No
28-09-2020,97005,98314,94371,94666,94666,10508900,2333,No
29-09-2020,94665,95505,93408,93580,93580,8737200,1086,No
